LocusID,Gene Name,Gene Synonyns,Product Name,Product Synonyms,Human_Sputum_B,Human_Sputum_A,Human_Sputum_C,Human_Sputum_D,Human_Sputum_E,Human_Sputum_F,Human_Sputum_G,HumanSputum_EM55B,HumanSputum_EM59,HumanSputum_EM60B,HumanSputum_EM13,HumanSputum_EM24,HumanSputum_EM30,HumanSputum_EM33,HumanSputum_EM35B,HumanSputum_EM36,HumanSputum_EM37B,HumanSputum_EM43,HumanSputum_EM48B,HumanSputum_EM49 ,HumanSputum_EM53B,HumanSputum_EM6,HumanSputum_EM61,HumanSputum_EM70
PA0001,dnaA,--,chromosomal replication initiator protein DnaA,--,5007,644,3454,463,924,341,13897,1692,1535,134,1988,236,345,1778,904,267,393,564,271,190,871,477,272,3527
PA0002,dnaN,--,DNA polymerase III beta chain,--,492,145,789,242,283,75,1942,608,180,55,363,88,151,129,319,61,124,342,73,92,347,320,76,1214
PA0003,recF,--,RecF protein,--,535,199,766,108,319,930,2634,496,321,102,383,26,221,276,313,490,227,143,118,95,797,270,171,1175
PA0004,gyrB,--,DNA gyrase subunit B,--,576,131,1113,288,177,90,3056,471,288,55,239,71,112,213,332,79,180,256,95,113,320,234,72,938
PA0005,lptA,plsC,lysophosphatidic acid acyltransferase LptA,"lysophosphatidic acid acyltransferase, LptA",317,70,294,22,46,15,948,111,53,20,72,0,14,73,74,18,18,42,24,13,69,48,10,175
PA0006,--,yaeD,conserved hypothetical protein,--,117,51,122,20,41,21,672,124,90,26,111,13,43,51,112,31,19,63,47,69,144,78,11,191
PA0007,--,--,hypothetical protein,--,49,15,20,13,2,7,92,66,6,3,5,9,19,20,19,3,7,0,2,11,10,17,2,16
PA0008,glyS,--,glycyl-tRNA synthetase beta chain,--,260,64,336,106,88,39,1810,247,172,29,149,0,64,90,120,40,36,283,36,39,131,271,28,405
PA0009,glyQ,--,glycyl-tRNA synthetase alpha chain,--,402,130,422,85,125,67,1707,342,172,32,160,44,74,91,155,44,133,138,35,75,209,177,15,454
PA0010,tag,--,DNA-3-methyladenine glycosidase I,--,46,11,36,10,7,7,162,42,7,1,11,20,27,13,22,1,11,17,3,13,20,24,4,48
PA0011,htrB1,2-OH-lauroyltransferase,acyltransferase HtrB1,2-OH-lauroyltransferase ; HtrB1 ; acyltransferase HtrB1,329,112,350,38,35,23,3178,164,64,32,31,18,49,105,131,33,46,83,23,16,92,123,20,320
PA0012,--,--,hypothetical protein,--,9,3,19,0,3,4,36,14,1,3,8,0,5,0,1,4,12,5,2,1,5,0,0,26
PA0013,--,yhhQ,conserved hypothetical protein,--,84,20,59,13,11,4,542,55,31,10,29,24,19,36,38,13,42,11,2,14,36,75,9,43
PA0014,--,--,hypothetical protein,--,29,11,15,0,3,10,32,16,4,0,14,10,0,0,8,0,3,0,0,3,10,0,5,44
PA0015,--,--,hypothetical protein,--,174,16,125,84,26,9,436,711,30,9,15,0,5,8,62,15,11,65,16,13,87,10,10,169
PA0016,trkA,--,potassium uptake protein TrkA,--,28,9,84,12,16,8,193,105,30,12,25,9,40,8,28,5,13,37,25,27,74,17,14,79
PA0017,--,sun ; fmu,conserved hypothetical protein,--,41,9,39,21,39,7,169,72,59,5,16,28,31,35,35,10,17,66,28,22,76,17,16,66
PA0018,fmt,--,methionyl-tRNA formyltransferase,--,27,6,20,15,25,5,171,31,31,3,18,44,25,34,13,9,17,42,19,12,43,12,32,33
PA0019,def,--,polypeptide deformylase,formylmethionine deformylase,242,89,335,79,94,29,1389,319,139,30,59,88,139,33,149,44,193,69,55,95,182,103,84,518
PA0020,tsaP,--,T4P secretin-associated protein TsaP,T4P secretin-associated protein TsaP,143,56,124,91,34,12,1004,141,30,18,62,31,40,21,100,23,91,41,10,11,62,42,25,245
PA0021,--,smf,conserved hypothetical protein,--,3,4,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,4
PA0022,--,yrdC,conserved hypothetical protein,--,47,58,35,20,15,1,190,144,57,8,42,2,38,64,58,11,41,77,15,36,80,75,7,70
PA0023,qor,--,quinone oxidoreductase,NADPH:quinone reductase,28,31,49,22,31,17,79,69,19,3,32,47,18,17,49,7,32,29,8,14,66,28,11,78
PA0024,hemF,--,coproporphyrinogen III oxidase aerobic,--,76,31,61,18,32,14,279,104,88,16,57,13,46,106,56,13,38,39,19,15,63,90,20,153
PA0025,aroE,--,shikimate dehydrogenase,--,41,18,31,11,18,7,99,78,45,5,19,0,30,31,42,5,6,39,13,19,62,28,3,50
PA0026,plcB,--,phospholipase C PlcB,"phospholipase C, PlcB",37,21,11,0,6,5,315,70,29,1,12,20,24,73,104,7,17,25,2,3,48,12,20,75
PA0027,--,--,hypothetical protein,--,4,17,14,0,4,0,161,41,2,3,8,0,8,4,54,1,5,39,2,2,31,0,4,34
PA0028,--,--,hypothetical protein,--,4,10,1,0,2,1,311,25,2,0,7,0,6,5,26,0,8,14,0,5,9,2,2,29
PA0029,--,--,probable sulfate transporter,--,17,8,5,7,13,2,70,32,3,1,7,0,20,17,22,5,0,5,3,2,3,0,40,9
PA0030,cosX,--,CosX,CosX,15,2,6,0,5,0,17,7,1,0,1,0,0,9,8,0,0,0,0,13,0,0,0,3
PA0031,betC,--,choline sulfatase,--,55,60,71,3,12,4,416,65,23,7,3,0,9,6,24,14,35,5,5,23,29,37,8,115
PA0032,--,--,probable transcriptional regulator,--,23,31,25,6,19,8,73,89,12,5,9,24,17,35,35,8,9,5,14,16,27,3,16,74
PA0033,hptC,--,Histidine phosphotransfer protein HptC,Histidine phosphotransfer protein HptC,12,5,8,7,3,4,19,36,6,7,0,0,11,19,10,4,2,6,4,5,26,0,6,5
PA0034,--,--,probable two-component response regulator,--,14,14,13,2,6,1,43,28,4,0,4,0,2,15,11,0,1,10,7,0,12,0,0,19
