From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function)
PA2563,Q9I0S2,unreviewed,Q9I0S2_PSEAE,Probable sulfate transporter,PA2563,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),495,,membrane [GO:0016020]; secondary active sulfate transmembrane transporter activity [GO:0008271],GO:0008271; GO:0016020,membrane [GO:0016020],secondary active sulfate transmembrane transporter activity [GO:0008271]
PA4012,Q9HX15,unreviewed,Q9HX15_PSEAE,Lon N-terminal domain-containing protein,PA4012,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),197,,,,,
PA1879,Q9I2L8,unreviewed,Q9I2L8_PSEAE,HTH cro/C1-type domain-containing protein,PA1879,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),184,,DNA binding [GO:0003677],GO:0003677,,DNA binding [GO:0003677]
PA3312,Q9HYT2,unreviewed,Q9HYT2_PSEAE,Probable 3-hydroxyisobutyrate dehydrogenase,PA3312,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),296,organic acid catabolic process [GO:0016054],"NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; organic acid catabolic process [GO:0016054]",GO:0016054; GO:0016616; GO:0050661; GO:0051287,,"NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
PA4573,Q9HVL1,unreviewed,Q9HVL1_PSEAE,Uncharacterized protein,PA4573,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),101,,,,,
PA1886,Q9I2L1,unreviewed,Q9I2L1_PSEAE,DNA polymerase (EC 2.7.7.7),polB PA1886,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),787,DNA replication proofreading [GO:0045004]; SOS response [GO:0009432],3'-5'-exodeoxyribonuclease activity [GO:0008296]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication proofreading [GO:0045004]; SOS response [GO:0009432],GO:0000166; GO:0003677; GO:0003887; GO:0008296; GO:0009432; GO:0045004,,3'-5'-exodeoxyribonuclease activity [GO:0008296]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]
PA4078,Q9HWV0,unreviewed,Q9HWV0_PSEAE,Probable nonribosomal peptide synthetase,PA4078,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),991,,oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177],GO:0016491; GO:0031177,,oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]
PA1878,Q9I2L9,unreviewed,Q9I2L9_PSEAE,HD domain-containing protein,PA1878,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),192,,5'-deoxynucleotidase activity [GO:0002953],GO:0002953,,5'-deoxynucleotidase activity [GO:0002953]
PA2918,Q9HZS9,unreviewed,Q9HZS9_PSEAE,Probable short-chain dehydrogenase,PA2918,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),257,,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]",GO:0016616,,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
PA2919,Q9HZS8,unreviewed,Q9HZS8_PSEAE,Uncharacterized protein,PA2919,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),85,,membrane [GO:0016020],GO:0016020,membrane [GO:0016020],
PA1172,Q9I4G5,unreviewed,Q9I4G5_PSEAE,Cytochrome c-type protein,napC PA1172,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),198,anaerobic respiration [GO:0009061]; denitrification pathway [GO:0019333],plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; anaerobic respiration [GO:0009061]; denitrification pathway [GO:0019333],GO:0005886; GO:0009055; GO:0009061; GO:0019333; GO:0020037; GO:0046872,plasma membrane [GO:0005886],electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
PA0113,Q9I719,reviewed,CYOE1_PSEAE,Protoheme IX farnesyltransferase 1 (EC 2.5.1.141) (Heme B farnesyltransferase 1) (Heme O synthase 1),cyoE1 PA0113,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),304,heme biosynthetic process [GO:0006783]; heme O biosynthetic process [GO:0048034],plasma membrane [GO:0005886]; farnesyltranstransferase activity [GO:0004311]; protoheme IX farnesyltransferase activity [GO:0008495]; heme biosynthetic process [GO:0006783]; heme O biosynthetic process [GO:0048034],GO:0004311; GO:0005886; GO:0006783; GO:0008495; GO:0048034,plasma membrane [GO:0005886],farnesyltranstransferase activity [GO:0004311]; protoheme IX farnesyltransferase activity [GO:0008495]
PA4649,Q9HVE3,unreviewed,Q9HVE3_PSEAE,Spore coat protein U domain-containing protein,PA4649,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),177,,,,,
PA0544,Q9I5Z2,unreviewed,Q9I5Z2_PSEAE,Calcineurin-like phosphoesterase domain-containing protein,PA0544,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),247,,hydrolase activity [GO:0016787],GO:0016787,,hydrolase activity [GO:0016787]
PA4780,Q9HV28,unreviewed,Q9HV28_PSEAE,non-specific serine/threonine protein kinase (EC 2.7.11.1),PA4780,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),297,phosphorylation [GO:0016310],ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; phosphorylation [GO:0016310],GO:0004674; GO:0005524; GO:0016310; GO:0046872,,ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
PA3089,Q9HZB9,unreviewed,Q9HZB9_PSEAE,DUF1853 family protein,PA3089,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),321,,,,,
PA4810,Q9HUZ9,unreviewed,Q9HUZ9_PSEAE,"Nitrate-inducible formate dehydrogenase, gamma subunit",fdnI PA4810,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),208,anaerobic respiration [GO:0009061]; formate oxidation [GO:0015944]; respiratory electron transport chain [GO:0022904],formate dehydrogenase complex [GO:0009326]; membrane [GO:0016020]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; formate dehydrogenase (NAD+) activity [GO:0008863]; formate dehydrogenase (quinone) activity [GO:0036397]; anaerobic respiration [GO:0009061]; formate oxidation [GO:0015944]; respiratory electron transport chain [GO:0022904],GO:0005886; GO:0008863; GO:0009055; GO:0009061; GO:0009326; GO:0015944; GO:0016020; GO:0022904; GO:0036397,formate dehydrogenase complex [GO:0009326]; membrane [GO:0016020]; plasma membrane [GO:0005886],electron transfer activity [GO:0009055]; formate dehydrogenase (NAD+) activity [GO:0008863]; formate dehydrogenase (quinone) activity [GO:0036397]
PA4702,Q9HV95,unreviewed,Q9HV95_PSEAE,Pentapeptide repeat-containing protein,PA4702,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),115,,,,,
PA1328,Q9I416,unreviewed,Q9I416_PSEAE,Probable transcriptional regulator,PA1328,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),302,DNA-templated transcription [GO:0006351],DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351],GO:0003700; GO:0006351; GO:0043565,,DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
PA0788,Q9I5F0,unreviewed,Q9I5F0_PSEAE,Glycosyl transferase family 51 domain-containing protein,PA0788,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),1041,peptidoglycan biosynthetic process [GO:0009252]; response to antibiotic [GO:0046677],membrane [GO:0016020]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; peptidoglycan biosynthetic process [GO:0009252]; response to antibiotic [GO:0046677],GO:0008658; GO:0008955; GO:0009252; GO:0016020; GO:0046677,membrane [GO:0016020],penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]
PA4293,Q9HWA7,reviewed,PPRA_PSEAE,Two-component sensor PprA (EC 2.7.13.3),pprA PA4293,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),922,,ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155],GO:0000155; GO:0005524,,ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]
PA0787,Q9I5F1,unreviewed,Q9I5F1_PSEAE,ATPase AAA-type core domain-containing protein,PA0787,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),387,DNA synthesis involved in DNA repair [GO:0000731]; double-strand break repair [GO:0006302],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA synthesis involved in DNA repair [GO:0000731]; double-strand break repair [GO:0006302],GO:0000731; GO:0005524; GO:0006302; GO:0016887,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
PA4811,Q9HUZ8,unreviewed,Q9HUZ8_PSEAE,Formate dehydrogenase iron-sulfur subunit,fdnH PA4811,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),309,cellular respiration [GO:0045333]; formate oxidation [GO:0015944],"plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; formate dehydrogenase (quinone) activity [GO:0036397]; metal ion binding [GO:0046872]; cellular respiration [GO:0045333]; formate oxidation [GO:0015944]",GO:0005886; GO:0015944; GO:0036397; GO:0045333; GO:0046872; GO:0051539,plasma membrane [GO:0005886],"4 iron, 4 sulfur cluster binding [GO:0051539]; formate dehydrogenase (quinone) activity [GO:0036397]; metal ion binding [GO:0046872]"
PA0173,Q9I6V9,reviewed,CHEB2_PSEAE,Protein-glutamate methylesterase/protein-glutamine glutaminase 2 (EC 3.1.1.61) (EC 3.5.1.44),cheB2 PA0173,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),349,chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482],cytoplasm [GO:0005737]; phosphorelay response regulator activity [GO:0000156]; protein-glutamate methylesterase activity [GO:0008984]; protein-glutamine glutaminase activity [GO:0050568]; chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482],GO:0000156; GO:0005737; GO:0006482; GO:0006935; GO:0008984; GO:0018277; GO:0050568,cytoplasm [GO:0005737],phosphorelay response regulator activity [GO:0000156]; protein-glutamate methylesterase activity [GO:0008984]; protein-glutamine glutaminase activity [GO:0050568]
PA0741,Q9I5I8,unreviewed,Q9I5I8_PSEAE,NAD(P)-binding domain-containing protein,PA0741,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),213,,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor [GO:0016646]",GO:0016646,,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor [GO:0016646]"
PA4809,Q9HV00,reviewed,FDHE_PSEAE,Protein FdhE homolog,fdhE PA4809,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),309,protein maturation [GO:0051604],cytosol [GO:0005829]; ferric iron binding [GO:0008199]; protein maturation [GO:0051604],GO:0005829; GO:0008199; GO:0051604,cytosol [GO:0005829],ferric iron binding [GO:0008199]
